shopID,title
1,Aveda
2,ba&sh
3,Ray-ban
4,Bizou American Brasserie
5,Optical 88
6,Columbia
7,COS
8,d2r
9,Devialet
10,Dim Sum Library
11,Ellermann Flower Boutique
12,EMPHASIS
13,GigaSports
14,Giorgio Armani
15,GLASSTIQUE
16,HON10
17,Jo Malone London
18,Joyce Beauty
19,Kurt Geiger
20,La Mer
21,La Prairie
22,Lane Crawford Home
23,LensCrafters
24,LeSportsac
25,L'Occitane En Provence
26,Lululemon
27,MAX&Co.
28,MUJI
29,Nakamura Tokichi
30,Natura Bissé
31,Phase Eight
32,Pure Yoga
33,PYE
34,Repetto
35,Sandro
36,Shake Shack
37,Shanghai Tang
38,Starbucks Reserve
39,Ted Baker
40,The Kooples
41,The North Face Urban Exploration
42,Theory
43,Tumi
44,Vilebrequin
45,Whistles
46,YSL Beauté
47,Zara
48,HARVEY NICHOLS Beauty POP-UP
49,CHA LING L'Esprit du Thé
50,Starbucks Coffee
51,Alexandre de Paris
52,Apinara Thai Cuisine and Bar
53,Bally
54,Balmain
55,Burberry
56,COVA
57,Diane von Furstenberg
58,Dolce & Gabbana
59,drivepro
60,Emporio Armani
61,Fuel Espresso
62,Harvey Nichols
63,Hogan
64,HSBC Premier Centre / HSBC Express Banking
65,I.T
66,iBLUES
67,iD
68,Isabel Marant
69,IWC Schaffhausen
70,J SELECT
71,Jimmy Choo
72,JOYCE
73,Kelly & Walsh Ltd.
74,Kent & Curwen
75,King & Country
76,La Maison Du Chocolat
77,Lifestyle Lab
78,Marc Jacobs
79,Masterpiece by king fook
80,Montblanc
81,Mr&Mrs Italy
82,Prada
83,Puyi Optical
84,RIMOWA
85,STUART WEITZMAN
86,Wise-Kids Educational Toys
87,Zadig & Voltaire
88,Chanel
89,Louis Vuitton
90,Elephant Grounds
91,J.LINDEBERG
92,ASHWORTH
93,IL COLPO Hair. Nail
94,Liquid Gold
95,a.testoni
96,BEA i-Financial Centre
97,Bottega Veneta
98,Boucheron
99,Bvlgari
100,Canali
101,Cartier
102,Caviar House & Prunier
103,CELINE
104,Chinese Arts & Crafts
105,Chloé
106,DALLOYAU
107,Fendi
108,Goyard
109,Gucci
110,Hermès
111,Jaeger-LeCoultre
112,Kwanpen
113,La Perla
114,Loewe
115,Loro Piana
116,LUMI
117,Miu Miu
118,Moncler
119,Piaget
120,Richard Mille
121,Roger Dubuis
122,Saloon
123,Salvatore Ferragamo
124,Tasaki
125,Tiffany & Co.
126,Tod's
127,Van Cleef & Arpels
128,VAULT by Puyi Optical
129,Versace
130,Ye Shanghai
131,Dior
132,Commissary
133,HSBC Premier Centre / HSBC Day & Night Plus / HSBC Express Banking
134,The Continental
135,KOKOMI
136,Le Pain Quotidien
137,Peking Garden
138,Plat du Jour
139,Thai Basil
140,Tien Yi Chinese Restaurant